ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490092570,"VIA DELL'ELBA"
490092607,"VIA DELL'ERBUCCIA"
490092610,"VIA DELL'EREMO"
490093610,"VIA DELL'INDIPENDENZA"
490093620,"VIA DELL'INDUSTRIA"
490095175,"VIA DELL'O.N.U."
490097640,"VIA DELL'OLIVARA"
490095160,"VIA DELL'OLMO"
490095180,"VIA DELL'ORIGINE"
490095190,"VIA DELL'ORIOLINO"
490097090,"VIA DELL'UFFIZIO DEI GRANI"
490097105,"VIA DELL'ULIVETA"
490097110,"VIA DELL'ULIVO"
490097160,"VIA DELL'UNGHERO"
490090490,"VIA DELLA BANCA"
490090530,"VIA DELLA BANDITELLA"
490090680,"VIA DELLA BASSATA"
490090690,"VIA DELLA BASTIA"
490091220,"VIA DELLA CAMPANA"
490091280,"VIA DELLA CAPPELLINA"
490091330,"VIA DELLA CAPRAIA"
490091438,"VIA DELLA CASA DEI CORSI"
490091760,"VIA DELLA CHIESA DI SALVIANO"
490091810,"VIA DELLA CINTA ESTERNA"
490091830,"VIA DELLA CISTERNA"
490092070,"VIA DELLA CORONCINA"
490092725,"VIA DELLA FERROVIA"
490092820,"VIA DELLA FONDERIA"
490092830,"VIA DELLA FONTANELLA"
490093200,"VIA DELLA GHERARDESCA"
490093290,"VIA DELLA GINESTRA"
490093322,"VIA DELLA GIORGIA"
490093390,"VIA DELLA GIUNCAIOLA"
490093450,"VIA DELLA GORGONA"
490093800,"VIA DELLA LECCETA"
490093805,"VIA DELLA LECCIA"
490093935,"VIA DELLA LIVORNINA"
490094100,"VIA DELLA MADDALENA"
490094110,"VIA DELLA MADONNA"
490094111,"VIA DELLA MADONNINA DI COTETO"
490094193,"VIA DELLA MALVA"
490094590,"VIA DELLA MELORIA"
490094645,"VIA DELLA MERIDIANA"
490094750,"VIA DELLA MISERICORDIA"
490095245,"VIA DELLA PACE"
490095260,"VIA DELLA PADULA"
490095660,"VIA DELLA PIEVE"
490095690,"VIA DELLA PINA D'ORO"
490095900,"VIA DELLA PORCIGLIANA"
490095930,"VIA DELLA POSTA"
490095942,"VIA DELLA PRINCIPESSA"
490095955,"VIA DELLA PRUGNOLICCIA"
490096000,"VIA DELLA QUERCETA"
490096015,"VIA DELLA QUERCIOLAIA"
490096030,"VIA DELLA RAGNAIA"
490096220,"VIA DELLA RONDINELLA"
490096320,"VIA DELLA SALUTE"
490096370,"VIA DELLA SAMBUCA"
490096470,"VIA DELLA SCALA"
490096499,"VIA DELLA SCOPAIA"
490096500,"VIA DELLA SCUOLA COMUNALE"
490096720,"VIA DELLA STAZIONE"
490096974,"VIA DELLA TORRE DELL'OROLOGIO"
490096972,"VIA DELLA TORRE NUOVA"
490096976,"VIA DELLA TORRE VECCHIA"
490097200,"VIA DELLA VALLE BENEDETTA"
490097270,"VIA DELLA VECCHIA CASINA"
